[2023-05-06 15:28:53,942] 15 root - INFO -model loaded
[2023-05-06 15:28:57,398] 224 werkzeug - WARNING - * Debugger is active!
[2023-05-06 15:28:57,427] 224 werkzeug - INFO - * Debugger PIN: 103-182-300
[2023-05-06 15:28:57,522] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:28:57] "GET / HTTP/1.1" 200 -
[2023-05-06 15:28:57,578] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:28:57] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2023-05-06 15:28:57,756] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:28:57] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2023-05-06 15:29:17,176] 22 root - INFO -Input Image Taken
[2023-05-06 15:29:32,891] 25 root - INFO -Input image prediction done
[2023-05-06 15:29:33,971] 80 root - INFO -Total survival days : [462.78118188] 
[2023-05-06 15:29:35,117] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:29:35] "POST /predict HTTP/1.1" 200 -
[2023-05-06 15:29:35,161] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:29:35] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2023-05-06 15:29:57,221] 22 root - INFO -Input Image Taken
[2023-05-06 15:30:05,184] 25 root - INFO -Input image prediction done
[2023-05-06 15:30:05,341] 80 root - INFO -Total survival days : [1028.80347318] 
[2023-05-06 15:30:05,897] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:30:05] "POST /predict HTTP/1.1" 200 -
[2023-05-06 15:30:05,983] 224 werkzeug - INFO -127.0.0.1 - - [06/May/2023 15:30:05] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
